date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:47	71175/71175	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2011%20Mar%202017%2010:47:53%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-light-webfont.svg	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-light-webfont.svg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:49:55	44742/44742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2011%20Mar%202017%2010:47:56%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.eot?	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfontd41d.eot	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:49:57	18616/18616	---M-Z	200	added ('OK')	font/woff2	date:Sat,%2011%20Mar%202017%2010:48:00%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.woff2	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.woff2	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:01	24632/24632	---M-Z	200	added ('OK')	x-font/woff	date:Sat,%2011%20Mar%202017%2010:47:59%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.woff	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.woff	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:01	70256/70256	---M-Z	200	added ('OK')	image/svg+xml	date:Sat,%2011%20Mar%202017%2010:47:57%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.svg	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.svg	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:02	44516/44516	---M-Z	200	added ('OK')	font/ttf	date:Sat,%2011%20Mar%202017%2010:47:58%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.ttf	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.ttf	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:03	45406/45406	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2011%20Mar%202017%2010:48:01%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.eot	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.eot	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:04	44742/44742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2011%20Mar%202017%2010:47:56%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.eot	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-regular-webfont.eot	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:05	45406/45406	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2011%20Mar%202017%2010:48:01%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.eot?	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfontd41d.eot	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
16:50:05	18876/18876	---M-Z	200	added ('OK')	font/woff2	date:Sat,%2011%20Mar%202017%2010:48:05%20GMT	https://devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.woff2	E:/office/accounts/devitems.com/html/financo-preview/financo/fonts/montserrat-semibold-webfont.woff2	(from https://devitems.com/html/financo-preview/financo/css/shortcode/default.css)
